right_ascension,declination,priority
0.43456355555555554,0.30139736111111115,2
0.11853686111111111,0.3014413888888889,3
0.15946691666666668,0.3035658333333333,3
0.15610694444444445,0.3037595833333333,2
0.4384016944444445,0.30576230555555556,2
0.18694369444444445,0.30587974999999995,2
0.8879528055555556,0.3061959722222222,2
0.22034394444444444,0.30892641666666665,2
0.20882033333333333,0.30948366666666666,2
0.8549045833333333,0.31030399999999997,2
0.16019666666666665,0.31170044444444445,3
0.4158535,0.3157632222222222,2
0.18743636111111112,0.31582719444444446,2
0.1670217777777778,0.3158350833333333,2
0.1910067222222222,0.3174231388888889,2
0.7996377777777778,0.31885511111111114,2
0.8034982777777778,0.31981227777777776,2
0.13580841666666668,0.32050925,2
0.1756358888888889,0.3205363055555555,2
0.217625,0.32524725000000004,2
0.7751911666666667,0.3262875833333333,2
0.8463730833333333,0.32645616666666666,2
0.864371611111111,0.32745236111111115,2
0.13504202777777777,0.32755511111111113,2
0.1177455,0.3286500277777778,2
0.7688527500000001,0.32883575000000004,2
0.19757575,0.32985638888888885,2
0.20517063888888887,0.3320659722222222,2
0.8273961666666667,0.3326903333333333,2
0.8466115277777778,0.33285830555555557,2
0.8110660833333333,0.33374411111111113,2
0.13424127777777778,0.3339668055555556,2
0.1296903611111111,0.33440369444444445,2
0.21020269444444445,0.3352672222222222,2
0.8052970277777778,0.3358103888888889,2
0.8241505277777778,0.33612169444444445,2
0.8423112777777778,0.3362818333333334,2
0.20701616666666667,0.3366543888888889,2
0.2248813888888889,0.33818533333333334,2
0.7933396944444444,0.3381943055555555,2
0.8405841111111111,0.3392661111111111,2
0.18962644444444446,0.3397143888888889,2
0.8315366666666667,0.34014075,2
0.1991893888888889,0.34197544444444444,2
0.8496638888888889,0.34223400000000004,2
0.8296626111111112,0.3438163888888889,2
0.17874030555555556,0.3439939444444445,2
0.15526988888888887,0.34417108333333335,2
0.8444068055555556,0.3462765555555556,2
0.788831111111111,0.34650736111111113,2
0.7869104722222222,0.3503252777777778,2
0.21642819444444444,0.35464191666666667,2
0.18784075,0.3563456944444444,2
0.14789788888888888,0.3580385,2
0.804238138888889,0.35840452777777776,2
0.3593294166666667,0.3597864444444444,2
0.3533706111111111,0.36014083333333335,1
0.19202438888888887,0.3616873611111111,2
0.1912179722222222,0.36349305555555556,2
0.1729027777777778,0.36361705555555557,2
0.8221298611111111,0.36416194444444444,2
0.39141388888888884,0.3646921111111111,3
0.16634688888888888,0.36515044444444444,2
0.3631765277777778,0.36729258333333337,3
0.418984,0.3677455,3
0.15330886111111108,0.36935358333333335,2
0.3991252222222222,0.37050269444444445,3
0.1723663888888889,0.371981,2
0.1808906111111111,0.3730388611111111,2
0.3743801111111111,0.3740205833333333,3
0.41982441666666664,0.37475077777777777,3
0.36158236111111114,0.3754855555555556,3
0.15804333333333334,0.37548666666666664,2
0.1663053611111111,0.3763522222222222,2
0.38536908333333336,0.37893058333333335,3
0.1888838611111111,0.37916941666666665,2
0.4108902222222222,0.3822149722222222,2
0.38945922222222223,0.3851235277777778,3
0.3508383611111111,0.38776530555555555,3
0.13631755555555555,0.3900796388888889,2
0.37428852777777777,0.3910183333333333,3
0.3597412777777778,0.39204455555555556,3
0.39967586111111114,0.39462291666666666,3
0.4190170277777778,0.400314,3
0.35507191666666665,0.40072283333333336,3
0.4200449166666667,0.40227272222222227,2
0.35863358333333334,0.4034375,3
0.3590319722222222,0.4052435277777778,3
0.34833322222222224,0.40654694444444445,3
0.3480535833333333,0.40848355555555554,2
0.34836347222222225,0.41124461111111116,3
0.39906819444444447,0.4182163611111111,3
0.388992,0.41988077777777777,3
0.3897385277777778,0.4216783888888889,3
0.35797669444444447,0.42385277777777774,3
0.3827766666666667,0.4311410277777778,3
0.40228877777777783,0.43297505555555554,3
0.3720535555555556,0.43429052777777777,2
0.4055019166666667,0.44084980555555553,3
0.4103366666666667,0.4419315833333333,3
0.39607658333333334,0.44315008333333333,3
0.35703125,0.4443317222222222,3
0.36140994444444446,0.44590066666666667,3
0.35903616666666666,0.4478937777777778,3
0.3038500277777778,0.44836925,2
0.2994046388888889,0.44941152777777776,2
0.3641775277777778,0.44983794444444447,1
0.3564562777777778,0.45138883333333335,3
0.05898997222222222,0.45151830555555555,1
0.08682191666666667,0.4540311111111111,2
0.08067280555555556,0.45469533333333334,2
0.3951846666666667,0.45656772222222225,3
0.3829019166666666,0.45740308333333335,1
0.3487613333333333,0.45917616666666666,3
0.05201313888888889,0.4592880277777778,3
0.3147068611111111,0.45956736111111113,2
0.3986617777777778,0.4595738333333333,2
0.3075408888888889,0.46117888888888886,2
0.03983188888888889,0.46224255555555555,3
0.09406808333333334,0.4629391388888889,2
0.32668019444444446,0.46317375,2
0.3271652777777778,0.46505425,2
0.10986797222222222,0.4663921111111111,2
0.3675444166666667,0.4668399166666667,3
0.41252686111111114,0.46694447222222224,3
0.3611894722222222,0.4684292222222222,1
0.038208111111111116,0.46946866666666665,3
0.06796536111111111,0.4694948333333333,2
0.054856555555555554,0.46977508333333334,1
0.3198127777777778,0.4700418055555555,2
0.10975363888888888,0.47060674999999996,2
0.122235,0.47159019444444444,2
0.30992813888888887,0.4717334444444444,2
0.36145988888888886,0.4731508055555556,2
0.09073091666666667,0.47324022222222223,2
0.08103149999999999,0.47340263888888884,2
0.30946283333333335,0.47725169444444443,2
0.36105230555555556,0.4798491111111111,1
0.32765838888888893,0.48027963888888886,2
0.08787158333333332,0.48113513888888887,2
0.05345183333333334,0.48180355555555554,2
0.3503115833333333,0.48217194444444444,2
0.37974280555555556,0.4838663611111111,1
0.38074094444444445,0.4841721388888889,1
0.3546194444444445,0.4843933055555556,2
0.13657388888888888,0.4846632777777778,2
0.8924117777777778,0.4847178888888889,2
0.31145297222222224,0.48491886111111115,2
0.10629497222222223,0.48498508333333334,2
0.3618937777777778,0.48556886111111114,2
0.1438916388888889,0.4862996388888889,2
0.35618744444444445,0.48635755555555554,1
0.12371683333333333,0.4863715833333333,2
0.37536372222222225,0.48706622222222223,2
0.32023202777777776,0.48741786111111113,2
0.3699628611111111,0.4883946666666667,1
0.05484438888888889,0.48866544444444443,2
0.3318399444444445,0.4889051388888889,2
0.36271830555555556,0.48933919444444446,1
0.031099361111111112,0.48957813888888885,2
0.2807159166666667,0.4898105833333333,2
0.897118,0.48982333333333333,2
0.03884508333333333,0.4900588055555556,2
0.3916965,0.49325294444444445,2
0.37070286111111106,0.4934088611111111,2
0.03944397222222222,0.4934379166666667,3
0.37484880555555555,0.4938767777777778,1
0.34814958333333335,0.4940981388888889,2
0.13431027777777776,0.4943682222222222,2
0.9177642222222222,0.49465922222222225,2
0.34442466666666666,0.4952844166666666,1
0.35883930555555554,0.4961466388888889,2
0.3746449722222222,0.49686474999999997,2
0.3656481388888889,0.49700930555555556,1
0.3888247222222222,0.4976700277777778,1
0.10351477777777779,0.4977885,2
0.04742288888888889,0.49793408333333333,2
0.411199,0.4983604166666667,1
0.06320105555555555,0.4987823611111111,2
0.3985511666666667,0.4989217777777778,1
0.04104602777777778,0.49921241666666666,2
0.9077497777777778,0.49988797222222225,2
0.43229430555555554,0.500706,1
0.07825175,0.5011100555555555,3
0.2887254166666666,0.5013928333333334,2
0.12231058333333333,0.5017726666666666,2
0.2990812222222222,0.50293175,2
0.0871985,0.5030298888888889,2
0.13153302777777778,0.5032296388888889,2
0.32518977777777774,0.50380525,2
0.33725275,0.5054134722222222,2
0.34064999999999995,0.5058938888888889,2
0.39271513888888887,0.5061020277777778,1
0.3634767222222222,0.5063420555555556,2
0.10860961111111112,0.5063603055555556,2
0.8759714722222223,0.5072513888888889,2
0.958963,0.5073638888888888,2
0.13942530555555557,0.5076619166666667,2
0.3673909722222222,0.5078538055555556,2
0.3334721666666667,0.5081110555555556,2
0.3785758888888889,0.5089810833333334,2
0.42012825000000004,0.5100665555555556,1
0.06359527777777778,0.5118153611111111,2
0.4144553611111111,0.5121793611111112,1
0.34921686111111105,0.5122665833333333,2
0.04784683333333334,0.5127084444444444,2
0.8951458055555556,0.513793111111111,2
0.11320763888888889,0.5138951666666667,3
0.11096030555555557,0.5144788888888889,2
0.3473997222222222,0.5144923888888889,1
0.08782475000000001,0.5145022222222222,2
0.05058311111111111,0.5147493055555555,2
0.09041300000000001,0.5154246388888889,2
0.3430800833333333,0.5154526666666667,2
0.43587552777777777,0.5158353888888889,1
0.4249846666666667,0.5165065833333333,1
0.8898099166666666,0.5170601666666667,2
0.0719866388888889,0.5174869166666667,2
0.30968669444444447,0.5178635277777778,2
0.39772419444444446,0.5181287222222223,2
0.4332767777777778,0.5182634444444444,1
0.35340080555555553,0.5184522222222222,2
0.09708427777777778,0.5188246388888889,2
0.09848722222222221,0.5192537222222222,2
0.43753797222222224,0.5194572222222222,2
0.3660038888888889,0.5194886666666667,2
0.3493925277777778,0.5205707222222222,2
0.3907732222222222,0.520656138888889,1
0.43101944444444446,0.5206817222222222,1
0.07224644444444445,0.5213591111111111,2
0.07490591666666666,0.5213644166666667,2
0.44526655555555555,0.52149025,2
0.12566975,0.52193025,2
0.3434196944444444,0.5219463333333334,2
0.90840875,0.5224925277777778,2
0.96421625,0.5234685833333333,2
0.32178941666666666,0.5246277777777778,2
0.9395315277777778,0.5248921666666666,2
0.437536,0.5263681388888889,1
